SCRUB_ITEM,TIME_DIM_KEY,SCRUB_TRANS_NO,TRANS_SEQ_NO,UNIT_QTY,UNIT_PRICE,UNIT_COST
2,20190205,8169,1,2.000,14.99,10.990
2,20190205,8171,1,5.000,14.99,10.990
2,20190205,8173,1,2.000,14.99,10.990
2,20190206,8193,1,1.000,14.99,10.990
2,20190208,8243,1,2.000,14.99,10.990
2,20190208,8244,1,2.000,14.99,10.990
2,20190211,8267,1,4.000,14.99,10.990
2,20190211,8268,1,1.000,14.99,10.990
2,20190211,8271,1,2.000,14.99,10.990
2,20190211,8272,1,1.000,14.99,10.990
2,20190211,8273,1,3.000,14.99,10.990
2,20190211,8274,1,1.000,14.99,10.990
2,20190211,8276,1,1.000,14.99,10.990
2,20190211,8279,1,1.000,14.99,10.990
2,20190211,8296,1,1.000,14.99,10.990
2,20190212,8317,1,1.000,14.99,10.990
2,20190213,8339,1,2.000,14.99,10.990
2,20190214,8358,1,1.000,14.99,10.990
2,20190214,8359,1,2.000,14.99,10.990
2,20190214,8361,1,1.000,14.99,10.990
2,20190215,8391,1,3.000,14.99,10.990
2,20190215,8392,1,6.000,14.99,10.990
2,20190215,8398,1,3.000,14.99,10.990
2,20190218,8428,1,1.000,14.99,10.990
2,20190218,8433,1,19.000,14.99,10.990
2,20190218,8438,1,3.000,14.99,10.990
2,20190218,8443,1,8.000,14.99,10.990
2,20190218,8446,1,6.000,14.99,10.990
2,20190218,8447,1,2.000,14.99,10.990
2,20190218,8449,1,2.000,14.99,10.990
2,20190218,8451,1,6.000,14.99,10.990
2,20190220,8491,1,1.000,14.99,10.990
2,20190221,8526,1,1.000,14.99,10.990
2,20190222,8542,1,3.000,14.99,10.990
2,20190222,8545,1,5.000,14.99,10.990
2,20190222,8548,1,1.000,14.99,10.990
2,20190225,8574,1,1.000,14.99,10.990
2,20190225,8575,1,1.000,14.99,10.990
2,20190225,8578,1,4.000,14.99,10.990
2,20190225,8579,1,2.000,14.99,10.990
2,20190225,8580,1,2.000,14.99,10.990
2,20190225,8581,1,4.000,14.99,10.990
2,20190225,8587,1,6.000,14.99,10.990
2,20190225,8595,1,2.000,14.99,10.990
2,20190225,8596,1,1.000,14.99,10.990
2,20190225,8600,1,1.000,14.99,10.990
2,20190225,8604,1,1.000,14.99,10.990
2,20190225,8605,1,1.000,14.99,10.990
2,20190225,8609,1,2.000,14.99,10.990
2,20190226,8631,1,1.000,14.99,10.990
2,20190226,8634,1,2.000,14.99,10.990
2,20190227,8652,2,1.000,14.99,10.990
2,20190227,8653,1,1.000,14.99,10.990
2,20190227,8654,1,3.000,14.99,10.990
2,20190227,8659,1,2.000,14.99,10.990
2,20190227,8660,1,1.000,14.99,10.990
2,20190227,8661,1,1.000,14.99,10.990
2,20190227,8662,1,1.000,14.99,10.990
2,20190227,8664,2,2.000,14.99,10.990
2,20190228,8674,1,1.000,14.99,10.990
